Unique_Key,Agency_Name,Complaint_Type,Descriptor
26532446,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26531523,New York City Police Department,Illegal Parking,Blocked Sidewalk
26528450,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529254,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529909,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26532433,New York City Police Department,Illegal Parking,Blocked Hydrant
26531459,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26533987,New York City Police Department,Illegal Parking,Blocked Sidewalk
26533998,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26530320,New York City Police Department,Illegal Parking,Blocked Sidewalk
26530718,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26529724,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26533598,New York City Police Department,Illegal Parking,Blocked Hydrant
26533828,New York City Police Department,Illegal Parking,Blocked Hydrant
26532978,New York City Police Department,Illegal Parking,Blocked Hydrant
26521595,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26522411,New York City Police Department,Illegal Parking,Blocked Hydrant
26526872,New York City Police Department,Illegal Parking,Blocked Hydrant
26523138,New York City Police Department,Illegal Parking,Detached Trailer
26527218,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26526645,New York City Police Department,Illegal Parking,Blocked Hydrant
26521143,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26526707,New York City Police Department,Illegal Parking,Blocked Hydrant
26521535,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26525838,New York City Police Department,Illegal Parking,Blocked Hydrant
26524975,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26521238,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26527547,New York City Police Department,Illegal Parking,Blocked Sidewalk
26524877,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26528123,New York City Police Department,Illegal Parking,Blocked Hydrant
26523009,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26525687,New York City Police Department,Illegal Parking,Blocked Sidewalk
26525286,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26521714,New York City Police Department,Illegal Parking,Blocked Sidewalk
26524579,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26526886,New York City Police Department,Illegal Parking,Blocked Hydrant
26521406,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26522185,New York City Police Department,Illegal Parking,Blocked Sidewalk
26526925,New York City Police Department,Illegal Parking,Blocked Sidewalk
26524622,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26526030,New York City Police Department,Illegal Parking,Blocked Hydrant
26522947,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26525627,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26522230,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26522636,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26521382,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26524809,New York City Police Department,Illegal Parking,Blocked Hydrant
26524925,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26524661,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26525848,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26526160,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26525646,New York City Police Department,Illegal Parking,Blocked Sidewalk
26524635,New York City Police Department,Illegal Parking,Blocked Hydrant
26517964,New York City Police Department,Illegal Parking,Blocked Hydrant
26520693,New York City Police Department,Illegal Parking,Blocked Hydrant
26519083,New York City Police Department,Illegal Parking,Blocked Hydrant
26520649,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26519543,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26521101,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26519931,New York City Police Department,Illegal Parking,Blocked Hydrant
26521063,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26519439,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26518925,New York City Police Department,Illegal Parking,Blocked Hydrant
26520591,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26519011,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
